P, A, etiqueta
“El fin de una relación de tres años”, “Será difícil, pero lo superaré”,1
“Tres años de trauma”, “Quiero sanar mi corazón herido”,1
“Rompí con mi novia de 3 años”, “Será difícil pero lo superaré”,1
“Hace un mes que rompí con la chica que conocí hace 3 años y medio”, “Será difícil, pero podrás superarlo”,1
“Romper después de 3 años de noviazgo”, “Será difícil, pero lo superaré”,1
“Han pasado ya tres años”, “Espero que esté bien”,1
“Aunque hayan pasado tres años”, “Ha pasado mucho tiempo, pero debo haberte amado profundamente”,1
“Después de un largo tiempo de noviazgo de 3 años, llega el aburrimiento”, “Revisa si el aburrimiento es un punto o una coma”,1
“Han pasado tres meses”, “El tiempo físico va bien”,1
"Han pasado 3 meses, pero ahora estoy seguro de que rompimos", "Supongo que puedo sentirlo ahora", 1
“Romperse justo antes de cumplir los 40”, “Es difícil romper independientemente de la edad que tengas”,1
“Realmente rompieron a los 45 días”, “Ahí debió terminar la relación”,1
"Han pasado 4 meses", "Creo que estás rompiendo", 1
“Así terminan cuatro años y medio”, “No olvides que tu tiempo sigue en curso aunque el amor se acabe”,1
"Mi novia de 4 años rompió en tránsito", "No es de buena educación romper en tránsito", 1
“Han pasado casi 5 meses desde que rompimos después de 4 años de noviazgo”, “Debe ser muy difícil ya que nos conocimos desde hace mucho tiempo”,1
"Es tan difícil para una ex novia comenzar de nuevo después de una ruptura de 6 meses después de una relación de 4 años", "Si rompes con otra persona, se vuelve aún más difícil si te importa", 1
“Se acabaron 4 años y 4 meses de amor”, “No olvides que tu tiempo sigue vivo aunque se acabe el amor”,1
“Se acabó la relación de más de 4 años”, “No olvides que tu tiempo sigue pasando aunque el amor se acabe”,1
“Han pasado casi 5 meses desde que rompí con una chica con la que salí durante 4 años”, “Espero que estés sobrellevando los momentos difíciles”,1
“Mi novia de 4 años se fue”, “Será difícil aceptar por un tiempo”,1
"Incluso después de 4 años de noviazgo", "Hay veces que no conoces el interior de una persona", 1
“Cuatro años terminaron el otro día”, “Espero que haya terminado bien”,1
"4 reencuentros y 4 rupturas", "Debo estar agotado por las frecuentes reuniones y despedidas", 1
"Nos despedimos en abril", "Tendrás que estar preparado para la despedida", 1
"Saliendo durante 5 años y 10 meses y preparándose para la ruptura", "Creo que el tiempo de preparación será difícil",1
“Separación tras 5 años de convivencia”, “Será difícil separarse más”,1
"Estoy rompiendo con mi novia de 5 años. Por favor, dame un consejo", "Me tomo el tiempo para invertir en mí, como hacer ejercicio o viajar, para deshacerme de las distracciones",1
"Romper después de 5 años de noviazgo", "Debe ser complicado",1
“Han pasado 3 meses desde que rompimos después de 5 años de noviazgo”, “Si lo piensas mucho, puedes cansarte más”,1
“Mi relación de 5 años ha terminado”, “Puede ser difícil por un tiempo, tuve muchos problemas”,1
“Después de 5 años de temas religiosos, se separaron”, “Las diferencias religiosas son más sensibles de lo que pensaba. El período de noviazgo debe haber sido difícil”,1
“Rompí con la chica con la que salí por casi 5 años”, “Mi cabeza está vacía y mi corazón debe estar complicado”,1
"Salimos durante 5 años y rompimos ayer", "Debe haber sido una decisión difícil, pero necesito un tiempo a solas",1
"Saliendo durante 5 años y rompiendo", "Vacía tus pensamientos",1
“Ayer terminé rompiendo con mi ex novia de 5 años”, “Espero que solo queden recuerdos felices”,1
“El final de una relación de cinco años es realmente vacío y fútil”, “El final del amor siempre es fútil”,1
"3 meses después de la ruptura después de 5 años de noviazgo", "Debe haber sido difícil de manejar", 1
“Mi primer amor y despedida después de más de 5 años”, “Aquí debe haber terminado”,1
“5 años van a ser incoloros”, “Será mucho tiempo, pero será un recuerdo vago”,1
"Mi historia de amor y ruptura durante 600 días", "Escucharé tu preciosa historia",1
“El fin de unos seis meses de separación y reencuentro”, “Es una historia triste”,1
"Corto amor de 6 meses", "Debe haber sido ese tipo de amor", 1
“Nos volvemos a encontrar después de 6 meses”, “Ha pasado un tiempo”, 1
“¿Por qué es esto incluso después de 6 meses”, “Porque no es proporcional al tiempo físico”,1
"¿Qué debo hacer después de una ruptura después de 6 años y 4 meses de noviazgo?", "Vivo duro y vuelvo a amar",1
"Me separé después de 6 años de noviazgo", "No es de buena educación romper con el tránsito", 1
"La historia de seis años", "¿Qué tal vaciar tu mente?",1
“6 años y lo que queda”, “Espero que solo queden buenos recuerdos”,1
“6 años de noviazgo y aviso de ruptura”, “Me debe haber sorprendido tanto como el tiempo que pasamos juntos”,1
“Di todo por ti durante 6 años y viví como un loco 4 años después de que te fuiste”, “Pasé bien los momentos difíciles”,1
“Me estoy preparando para despedirme después de 6 años de noviazgo”, “Será difícil, pero por favor déjalo ir despacio”,1
“6 años de tiempo y 6 días de separación, ahora te voy a dejar ir”, “Será difícil, pero por favor déjalo ir despacio”,1
"Conocí y hablé con mi ex novia 6 años mayor", "Me alegro de que la historia haya funcionado",1
"Mi hombre durante 7 años", "Me has amado durante mucho tiempo", 1
“Llevamos saliendo unos 7 años”, “Lleváis saliendo mucho tiempo”,1
“Segundo aviso de despedida en 7 años”, “La repetición se convierte en hábito”,1
“Se acabó una relación de 7 años y medio”, “Me costó mucho terminarla”,1
"Fui traicionada por mi novio de 7 años", "Romper", 1
"Me enteré que mi novio de 7 años visitó un establecimiento de entretenimiento", "No puedo arreglar a una persona así, romper", 1
"Rompí con mi amante de 7 años", "Debe ser tan difícil como los años",1
"7mo año","Ánimo",1
"Día 7","Ánimo",1
“Es duro el final de una reunión de 8 años”, “Será tan duro como el largo tiempo”,1
“El fin de una relación de 8 años”, “Debe haber sido difícil terminarla”,1
“Te conocí hace 8 años, cómo rompieron”, “Aquí debe haber terminado”, 1
"1 año después de salir durante 8 años", "Encuentra un nuevo amor", 1
“Han pasado 2 meses desde que rompimos después de 8 años de relación”, “Es un momento difícil”,1
“Separación tras 8 años de noviazgo”, “El vacío debe ser mayor”,1
“Estoy al final de una relación de 8 años”, “El final siempre es duro”,1
“Transfer despedida después de 9 años de amor”, “Transfer despedida no es educado”,1
"9 años de noviazgo", "El vacío debe ser más grande",1
"9 años de entretenimiento, 8 años de vivir juntos y finalmente romper de verdad", "El vacío debe ser enorme",1
“Estoy terminando una relación de más de 9 años”, “El vacío debe ser más grande”,1
"Me recuerda a la canción de jk Kim Dong-wook", "La letra debe ser similar",1
"Necesito dejar las redes sociales", "Es difícil dejar las redes sociales",1
"Rastreos SNS","Eliminar rastros de redes sociales",1
"Me enojo cuando veo a alguien hablando con alguien del sexo opuesto en SNS", "No mires SNS", 1
"Pensé que era más liviano", "Está bien ser pesado", 1
“La letra es como la mía”, “No le hagas caso a la letra triste”,1
"Una ruptura desgarradora", "No te lastimes demasiado", 1
“Un lado del pecho me aprieta”, “Espero que me duela menos”,1
“El agujero en tu pecho es muy grande”, “No pienses en nada y duerme bien”,1
“El corazón sigue mirando a la muerte”, “Por favor, ámate más”,1
“Me duele mucho el pecho y me cuesta respirar”, “Voy a madurar tanto como me duele”,1
“Me duele el corazón”, “Sé tan feliz como te duele el corazón”,1
“Me duele el corazón”, “Sé tan feliz como duele”,1
“Mi corazón no lo permite”, “Tienes que hacer lo que tu corazón te dice que hagas”,1
“La persona más cercana ahora es la persona más lejana”, “Creo que esto es lo más triste”,1
“Háblame de mi relación familiar”, “Mis padres son las personas que me hicieron amigo.”,1
“Me pongo la regla después de 4 meses de una ruptura fingida”, “Se necesita coraje para poner la regla”,1
“Cómo superar una ruptura dura”, “Es tan dura como el amor”,1
"Amor simple", "No simple", 1
"Amor simple", "Cuesta hacerlo muchas veces", 1
"Gracias a que ella apareció en mi sueño por primera vez en mucho tiempo, me vienen recuerdos a la mente", "Guardar solo buenos recuerdos", 1
"Cómo superar el adulterio", "Divorciarse", 1
“Quiero verte cada vez más y no puedo con eso”, “Creo que retener lo que quiero ver es parte del proceso de ruptura”,1
“Cada vez es más difícil”, “Habrá un buen día”,1
“Creo que es hora de que mis sentidos se vuelvan embotados”, “Se embotarán con el tiempo”,1
“Altibajos emocionales”, “Siempre soy malo”,1
“Solo estaba siendo honesto con mis sentimientos, pero los hombres deben haberlo odiado”, “La otra persona debe haber sido herida”,1
"No puedo controlar mis emociones", "Respira hondo",1
"Envié un mensaje de texto porque no podía controlar mis emociones", "El mensaje de texto podría ser mejor",1
“De repente deprimido”, “Por eso yo también estoy deprimido”,1
"De repente es difícil otra vez", "Pat Pat", 1
"Mi yo que de repente se derrumbó", "Por favor, ámate más", 1
"Depresión súbita", "Haz lo que quieras",1
"De repente, tu corazón se aceleró", "¿Entraste en pánico?", 1
“Estoy estupefacto porque pasó tan de repente”, “Es absurdo”,1
"De repente me volví frío", "Debe haber una razón", 1
"De repente enojado y peleando", "Debe haber una razón", 1
"De repente es difícil", "Aguanta un poco más", 1
"Despedida repentina", "Todas las despedidas son repentinas",1
"Recibí una llamada tuya de repente", "Espero que sea una buena llamada", 1
"¿Debería pedir que nos separemos ya que estamos en la misma clase", "Si voy a hacerlo, debería hacerlo", 1
“Mismo cielo, distinto espacio”, “Respiramos bajo el mismo cielo”,1
"Me recuerda al último viaje que hicimos juntos", "Vamos a un nuevo viaje", 1
"Quiero verlo juntos", "Bájalo ahora", 1
"Quiero verlo juntos~", "Por favor, bájalo ahora", 1
“Pensé que subían juntos”, “Supongo que no”, 1
"Jurar juntos", "Mala persona", 1
"Estábamos juntos", "¿No es ahora?", 1
“Llevamos 5 años juntos”, “Habrá alguien que esté más tiempo con nosotros”,1
"Estoy cabreado por romper como un perro", "Grita fuerte y olvídalo", 1
"Trataré de vivir sin él", "Estaré bien", 1
“Él vivirá feliz”, “Bendiciones lleguen a todos”,1
“Mi reflejo en el espejo”, “Soy atractivo”,1
"Odio mirarme al espejo", "Está bien no mirarse al espejo",1
“Beber casi todos los días”, “Cuanto más bebes, más te descompones”,1
"Mal despedida", "Grita fuerte y olvida", 1
“La mentira es una enfermedad verdaderamente incurable”, “Probablemente sea así”,1
"Ojalá vuelvas como una mentira", "Abandona la triste permanencia",1
"Llamadas perdidas","No llamar",1
“El que bloquea con frecuencia”, “El bloqueo también es una enfermedad”,1
"Estoy tan enojado", "Whoa ~ cálmate", 1
"Tengo miedo", "Sé valiente",1
“Apenas logré calmarme, pero me llamaron”, “Haz lo que quieras”,1
“Adiós en invierno”, “Debe ser más difícil”,1
"Es muy difícil de soportar","Aguanta un poco más",1
"Soportar", "Vivir hoy",1
“Al final rompimos sin llegar al matrimonio”, “Conseguir el matrimonio no es necesariamente un éxito en el amor”,1
“Finalmente me solté”, “Me costó mucho soltarme”,1
“Acabó así otra vez”, “Ánimo”,1
"Finalmente obtuve una respuesta, pero no espere", "No espere una llamada", 1
“Después de todo volví a soñar”, “Piensa en otra cosa y vete a dormir”,1
"El adiós vuelve al final", "El amor volverá",1
“Se volvió a derrumbar al final”, “Solo me falta levantarme de nuevo”,1
“Vendrá de nuevo al final”, “Solo quedarán los arrepentimientos”,1
"Al final no pude conocerte, así que transmití mis sentimientos a través de KakaoTalk", "Pensé que no sería capaz de decírtelo si te conocía", 1
“Terminé teniendo un accidente otra vez”, “Espero no volver a cometer ese error”,1
“Al final mi novia dijo que rompamos”, “Ahí debió terminar la relación”,1
“Terminé en contactarte”, “Hiciste un buen trabajo”,1
“Al final te contacté”, “Me siento aliviado por dentro”,1
"Finalmente se acabó", "Es solo el comienzo", 1
“Terminé recibiendo asesoramiento pagado”, “El asesoramiento también sería útil”,1
“Termina así”, “Nunca sabes el final cuando empiezas”,1
“Así acabará”, “Cuando empiezas, no sabes el final”,1
“Al final acabamos con la ruptura”, “Espero que sea un buen comienzo”,1
“Al final, ¿el final de una ruptura es un delirio?”, “Es hora de soltar el delirio”,1
“Después de todo, soy un idiota”, “No digas eso”,1
“Por fin lo encontré”, “Es mejor que arrepentirse”,1
“Terminé rompiendo”, “Mi corazón debe ser más complicado”,1
“Después de todo, cambié mi número de celular”, “No me llames más”, 1
“Cambié mi número de celular al final”, “Ya se me olvidó mucho”,1
"Al final rompimos", "Conocerás a alguien mejor", 1
"Al final rompimos", "Ya vendrá otro amor", 1
“Al final rompimos”, “Si hay un principio, hay un final”,1
“Al final rompimos”, “Si hay un principio, hay un final”,1
“Dije que deberíamos terminar después de todo”, “Debe haber sido difícil de decir”,1
“Una ruptura llega eventualmente”, “Debe haber llegado algún día”,1
“Al final quedó claro que nos separamos”, “Supongo que ese es el final”,1
"La idea de que eventualmente se acabó", "No se aceptará fácilmente",1
"Fue trampa al final", "Olvídalo limpiamente", 1
“Al final se derrumbó”, “No hay que trabajar duro, estar lo suficientemente triste y levantarse de nuevo”,1
“Rompimos por nuestros valores matrimoniales”, “Los valores son importantes porque tenemos que vivir más”,1
“Es un divorcio de matrimonio de tres meses”, “Si vas a romper, mejor que sea rápido”,1
“Se acabó la convivencia antes del matrimonio”, “Creo que será más difícil de aceptar que cualquier otra situación”,1
“Odio vivir con la ruptura unilateral mientras me preparo para el matrimonio”, “Me golpeo con la pared llamada realidad”,1
"Romper antes del matrimonio", "Más vale romper que divorciarse",1
“Hasta pensé en casarme”, “Me da pena”, 1
“Dicen que se quieren casar dentro de 4 años”, “Si te parece bien entonces”, 1
“Por qué te sigues enojando conmigo cuando te casas”, “Debe ser difícil”,1
"Las mujeres en edad casadera son egoístas", "Todas las personas son egoístas",1
“Vamos a romper porque no estoy seguro del matrimonio”, “El matrimonio requiere certezas”,1
"Se queda", "Será por un tiempo", 1
“La persona en la que sigues pensando”, “Te recordaré tanto como te amé”,1
“Si sigues pensando en eso, deberías contactarme una vez”, “Espero que no te arrepientas”,1
“¿Qué significa seguir tomando tiempo”, “Significa que necesitas tiempo para pensar y organizar”,1
“Sigue soñando”, “Piensa en otra cosa cuando duermas”,1
“Cuando cambien las estaciones”, “Será mejor”,1
"Estoy preocupado", "Podría ser útil poner sus pensamientos en papel", 1
“Y si confieso y me arrepiento”, “El arrepentimiento solo engendra arrepentimiento. Sé valiente”,1
“¿Me dejaste solo por eso?”, “No lo hubieras sabido”,1
"Es solo una persona", "La gente es grande", 1
“Hace un año que nos separamos”, “Ya vendrán días mejores”,1
"Rompimos poco antes de los 500 días", "Ya vendrán días mejores",1
“No creo que estudiar sea mi constitución”, “No creo estar seguro”,1
“Es difícil estudiar”, “Aguanta un poco más”,1
"Está vacío", "Yo lo lleno", 1
"corazón vacío", "lo llenaré", 1
“El vacío es enorme”, “Yo lo llenaré”,1
"Pánico", "Debe haber sido difícil de soportar, pero ¿está bien?", 1
“El pasado te detiene”, “Enfócate en el presente”,1
“Estoy atado por el pasado”, “Pasado, presente y futuro van de la mano”,1
"Estás enojado conmigo en el pasado", "Discúlpame en el presente", 1
"¿Volveré?", "Si quieres volver, por favor contáctame",1
"Fue realmente amor", "Tu corazón lo sabrá", 1
“Me siento indignada y resentida, pero te extraño mucho”, “Estás dividida entre el amor y el odio”,1
“Está bien, estoy bien”, “Estará bien”, 1
"Está bien, entonces de repente ㅠ", "Debe ser el proceso de tratar de ser mejor", 1
"Está bien, pero surge de repente", "Respira hondo", 1
“Aunque estoy bien, mi corazón se estremece de vez en cuando”, “Respira hondo”,1
“Estaba mejorando, pero bueno”, “Debe ser el proceso de tratar de mejorar”,1
"No mejorará", "Mejorará", 1
"Pensé que estaba bien, pero lloré mucho hoy", "Está bien llorar", 1
"Pensé que estaba bien", "Ánimo un poco más", 1
"Está bien, entonces estoy llorando de nuevo", "Está bien llorar", 1
“Pensé que estaba bien”, “Podría haber estado fingiendo que estaba bien”,1
"Estaba bien", "Está bien llorar", 1
“Pensé que estaba bien”, “Vivo sin conocerme mejor”,1
“Pensé que estaba bien”, “No tienes que estar bien”,1
“Pensé que estaba bien, pero cuando escuché que tenía un hombre, mi corazón volvió a hundirse”, “No estés triste por la persona que se fue”, 1
“Pensé que estaba bien”, “Vivimos sin saber mucho”, 1
“Pensé que estaba bien”, “Vivimos sin saber mucho”, 1
"Fingiendo estar bien, fingiendo ser un adulto", "No tienes que fingir", 1
“No creo que esté bien”, “No importa si no está bien”,1
"Pensé que era una buena semana", "no lo fue", 1
"Pensé que estaría bien", "No mejora fácilmente", 1
"La vana esperanza lleva a una mayor desesperación", "La vana esperanza te hará sufrir más",1
"Acabo de hacer KakaoTalk", "Ya no hagas KakaoTalk", 1
"Es doloroso", "Es solo doloroso", 1
“Es doloroso”, “Tal vez por un tiempo”,1
“No ames como mendigando”, “Amar es dar y recibir”,1
"Dijeron que esperarían incluso después de alistarme en el ejército", "Podré conocer a mejores personas después de ser dado de baja", 1
“Es triste porque soy militar”, “Podré conocer gente mejor después de que me den de alta”,1
"Soy un soldado. Adiós a la transferencia","La transferencia es muy grosera",1
“Tengo una pregunta”, “Sí, por favor dígame”,1
"Tengo una pregunta", "Sí, pregunta", 1
"Tengo una duda", "Pregúntame lo que sea",1
"Aburrimiento", "Puedo superarlo", 1
“Sé que el aburrimiento es egoísta”, “Todas las personas son animales egoístas”,1
"Ruptura por aburrimiento","Superar o romper",1
“El aburrimiento no es la respuesta”, “O se supera o se rompe”,1
“La persona que le dijo adiós al aburrimiento”, “Esa persona también debió pasarlo mal”,1
“¿Te arrepentirías de romper con el aburrimiento?”, “Creo que sería mejor tratar de superarlo”,1
"La noticia del matrimonio del hombre", "Conocerás a una mejor persona",1
“Sigo pensando en esa imagen”, “Solo las buenas imágenes quedarán en mi memoria”,1
"Él también haría eso", "Yo haría", 1
"Tiene una niña", "No la busques", 1
“Extraño mucho a esa persona”, “Debo haberlo amado”,1
“La costumbre de buscar los lugares a los que iba con él”, “Ir con otro”,1
"Puede ser", "Puede ser", 1
"Trata de reírte de todos modos", "Forzar una sonrisa ayudará",1
“Por cierto, es difícil”, “Ánimo”,1
“Simplemente me duele el corazón”, “Aguanta un poco más”,1
"Solo tengo curiosidad","Me pregunto",1
“Solo quiero vivir para mí”, “Podría”,1
"Estoy a punto de rendirme", "No te rindas", 1
"Es frustrante", "Mi corazón está vacío", 1
“Lo borraré de mi mente”, “Por favor, déjalo ir lentamente”,1
“Es solo una serie de encuentros y despedidas”, “Creo que mi corazón está cansado”,1
“Solo voy a su casa a ciegas”, “Eres un hombre de acción”,1
“Solo te extraño”, “Es nostálgico”,1
“Solo quiero enviar”, “Enviar es amor”,1
“Solo escríbelo”, “Se organiza a medida que lo escribes”,1
"Solo vivo así", "Vivo lo suficientemente bien", 1
"Simplemente es difícil romper", "No puedo acostumbrarme a romper en cualquier momento", 1
"Escucharé", "Escucharé", 1
"Solo bloquea", "Estás hablando solo", 1
"Solo seamos amigos", "Los amantes no pueden ser amigos", 1
“Solo ser feliz es suficiente”, “La felicidad es lo mejor”,1
"Es solo una ruptura común y quejas", "Gracias por encontrarme", 1
“Solo mezclo palabras contigo y gracias por la relación contigo”, “Es una relación hermosa”, 1
“Me aturdo solo de pensar en ella”, “Me debe haber alcanzado la flecha de Cupido”,1
"Pienso en ella","Debe ser una noche de insomnio",1
“Todavía me duermo mal pensando en ella”, “Prueba tu cuerpo o piensa en otra cosa”,1
"Su cumpleaños", "Es vívido ahora, pero olvídalo uno por uno", 1
“Ella es tan cruel”, “La persona que más amas es la que más duele”,1
“Dijo que quiere volver a encontrarse con ella en sus sueños”, “Los sueños y la realidad no son lo mismo”,1
"Se ha ido", "Acepta la realidad como lo haces ahora",1
“Se ve muy cansada”, “Tú también te ves cansada”,1
“Se va de verdad”, “Acepta la realidad como eres ahora”,1
"¿Pensará en mí aunque sea de vez en cuando?", "Deja ir tus sentimientos persistentes lentamente",1
“Ella no volverá a mí, así que tengo que olvidarlo ahora”, “Por favor, cuida mi corazón lentamente”,1
"¿En qué está pensando?", "Solo ella lo sabe",1
“Se separó, pero yo sigo triste”, “Espero que cambie por amor”,1
"Recibí una llamada de ella", "Qué dijiste", 1
“Mira una chica que se parece a ella”, “No olvides que no lo es”,1
“La despedí”, “No me siento cómodo”,1
"Debería dejarla ir", "Si lo estás pensando, así es", 1
“Salí del café donde la conocí”, “Fue difícil pero lo hice bien”,1
“Es tan duro tener que olvidarla”, “El tiempo ayudará”,1
"Después de conocerla", "Se te complica la mente", 1
"Vi su SNS", "Prefiero no mirar su SNS", 1
“Estoy a punto de tirar todos los regalos que he recibido de ella”, “Me va a doler tirar, pero es mejor tirarlo”,1
"Recibí una llamada de ella", "Debo haber estado un poco nervioso", 1
“¿Habrá réplica para ella?”, “Las secuelas le llegarán a cualquiera”,1
“Voy a limpiar mi equipaje en el gimnasio donde solía hacer ejercicio con ella”, “Por favor, organiza bien tu mente”,1
“Perdí uno cada vez que rompí con ella”, “Me arrepentiría menos si no me quedara nada”,1
“Rompí con ella”, “Debo sentirme vacío”,1
“Sentí mucho después de romper con ella”, “Supongo que siempre hay una comprensión detrás del dolor”,1
"Su matrimonio es tan desgarrador", "Déjala ir ahora",1
“Vi sus fotos de macho”, “Debe haber sido amargo porque no era lo que yo quería”, 1
“El último momento que la vi”, “No pude evitar estremecerme”, 1
"Borré todas sus fotos", "Buen trabajo",1
"Sin noticias de ella", "No escuches",1
"Escuchar noticias de sus amigos","Sería mejor que te callaras los oídos",1
"Su KakaoTalk", "No esperes demasiado", 1
"Su KakaoTalk desapareció", "Por favor, suelta tu corazón", 1
“¿Llegará el día en que sinceramente le deseo felicidad”, “Será posible”,1
"Gnomu KakaoTalk", "El contacto es un problema", 1
"Es su cumpleaños", "Es solo un día de 365", 1
“Te extraño”, “Eras tú a quien yo amaba mucho”, 1
“Parece que te has estado esperando demasiado emocionalmente”, “Si bajas tus expectativas, te sentirás más cómodo”,1
“El tiempo que he pasado hasta ahora”, “Espero que hayas sido feliz”,1
“Se han detenido las reuniones y el tiempo”, “Por qué no los enterramos junto con nuestros recuerdos”,1
“Entonces no lo sabía”, “Parece que siempre me doy cuenta después”,1
“Sí, hoy me patearon”, “No creo que haya sido una decisión fácil”,1
"Sí, pensé que eventualmente te llamaría", "Creo que eso hubiera sido lo mejor",1
"Sin embargo logré borrar el número","Bórralo de tu corazón",1
"Aún así, me siento aliviado", "Debes sentirte aliviado", 1
“Todavía duele”, “El dolor viene tanto como amas”,1
“Existió una mujer así y será olvidada”, “Así será”,1
“Sin embargo, estoy haciendo esto”, “No te castigues”,1
"Esperé tanto", "No esperes y no esperes",1
"Te estás olvidando así", "Debes ser tan aburrido", 1
"Y 3 años y 5 meses", "¿Por qué no sueltas ya tus recuerdos?",1
"Nostalgia", "Tristes recuerdos", 1
"Anhelo", "Quiero verte", 1
"Supongo que no puedo evitar extrañar", "Porque en realidad es imposible olvidar por completo", 1
"¿Es mejor el anhelo o el dolor?", "¿Puedes separar los dos?",1
“No me extrañes, si nos volvemos a encontrar estarás más sola”, “Elegí la añoranza para evitar la soledad”,1
“Te extraño tanto que me quiero morir”, “No tengas miedo”,1
"Deberías dejar de llorar", "Sacúdete y levántate",1
“Quiero dejar de luchar”, “Llegará el día en que me acordaré de eso”,1
“No debiste decir eso”, “Patea la manta y olvida lo que dije”,1
“Quiero que esa persona piense en mí muy de vez en cuando”, “Es un deseo trivial pero vago”,1
“¿Esa persona también se está preparando para una ruptura?”, “Esos pensamientos solo te hacen sufrir más”,1
"Está en Daejeon ahora", "No importa", 1
"Esa persona sigue apareciendo en tus sueños", "Piensa en otras cosas", 1
"Te sientes tan cómodo y divertido allí", "Piensa en formas en las que puedes estar cómodo y disfrutar",1
“Superar el desfallecimiento en la comunicación”, “Vamos a superarlo de nuevo”,1
“Pero ¿por qué no es tan duro después de romper?”, “Quizás las secuelas llegan tarde”, 1
“Escribo y luego borro”, “Es muy difícil poner mis sentimientos por escrito”,1
"Me pondré a escribir","Me organizaré mientras escribo",1
"Recuerdos del aniversario", "Guardar solo buenos recuerdos para ti",1
“Los que están esperando”, “Soy una persona honesta en mi corazón”,1
“Estoy esperando”, “Deja ir las expectativas poco a poco”,1
“¿Es esperar la respuesta?”, “Quiérete y espera”,1
"Esperar es duro", "Esperar es duro",1
“Pareces cansado de esperar”, “Relaja cuerpo y mente”,1
"Si espera, será contactado", "Debe haber esperado", 1
“Dije que no esperé, pero esperé”, “Porque todo no sale como uno quiere”,1
“Espera”, “Será más difícil porque no se vislumbra el final”,1
"No esperes", "¿Estás hablando solo?", 1
“Estoy de mal humor”, “Creo que estás de mal humor”,1
"Me siento andrajoso", "Seré tu fuerza", 1
"Fue un día extraño", "¿Fue un día anodino?",1
"¿Estaría bien el dormitorio?", "Sería más incómodo que vivir solo", 1
“Será olvidado de la memoria”, “Quedarán los recuerdos”,1
“Quiero borrar mi memoria”, “El tiempo será la medicina”,1
"No te dejes engañar por la distorsión de los recuerdos y no te lastimes", "Los recuerdos están obligados a embellecer. Sal de la esclavitud",1
“Cuando saltan los recuerdos”, “Ojalá pudiera concentrarme en otras cosas, pero no es fácil”,1
"¿Te acuerdas?", "Tal vez sea mejor no pensar",1
"Recuerdos que no quiero recordar", "Se desvanecerá lentamente",1
“No tengo energía”, “Comer bien y dormir bien”,1
“Tengo que estar lo suficientemente cansado para desmayarme para quedarme dormido”, “Debe ser una noche de insomnio”,1
“No tengo oportunidad”, “Vendrá otra oportunidad”,1
“Romper después de una larga relación”, “Será tan difícil como mucho tiempo, pero podrás superarlo”,1
"Estarás bien después de mucho tiempo", "Estarás bien", 1
“Rompimos después de un largo viaje”, “Será tan duro como el largo tiempo, pero podrás superarlo”,1
“¿Es el final de una relación larga?”, “Me temo que dolerá tanto como lo fue una relación larga”,1
"Pensamientos profundos", "Dime", 1
"Necesito enviarlo limpiamente", "Puedes enviarlo lentamente",1
“La realización siempre llega tarde”, “No importa la decisión que tomes, siempre te arrepentirás”,1
“Creo que hay una dosis que debe ser dolorosa”, “Si llenas la dosis, estarás bien”,1
“Tengo muchas ganas de atraparlo”, “Contáctame antes de que te arrepientas”,1
"Es muy difícil soñar", "¿Cuál es el sueño?", 1
“Me despierto de madrugada por mis sueños”, “Debo estar cansado”,1
"No puedo verte ni en mis sueños", "Realmente olvídalo", 1
"Por favor, no aparezcas en mis sueños", "Ya se acabará de verdad",1
"¿Aún no has olvidado que apareces en tus sueños?", "Los sueños son manifestaciones del inconsciente",1
"Mi novia que rompió en mi sueño", "Debo haberlo pensado implícitamente", 1
"Apareció en mi sueño", "Debo haberlo pensado",1
"Mi exnovio apareció en mi sueño", "Algo debe haber pasado", 1
"¿Te lo estás poniendo difícil hasta en tus sueños?", "Podrás olvidarlo", 1
“Quiero verte hasta en mis sueños”, “Si te veo en mis sueños, mi corazón estará vacío”,1
“Tuve un sueño, pero es una pesadilla”, “Los sueños son lo opuesto a la realidad”,1
“Si no puedes soñar”, “Por qué no intentas otra cosa”,1
"Los sueños son tan reales", "Debe ser soso", 1
“El sueño es un estado de indefensión”, “Sería lindo que el sueño fuera como mi corazón”,1
"¿Es un sueño o una realidad?", "Estén alerta",1
"Sueño ㅠㅠ", "¿Saliste en un sueño", 1
"Un eslabón de lazos rotos", "Aquí debe haber terminado", 1
“No soltemos los hilos”, “Agárrense fuerte”,1
"El Fin","Otro Comienzo",1
"Mi novio que fue demasiado para mí hasta el final", "Conozcamos a una buena persona", 1
“Jugó conmigo hasta el final”, “Odio más a los niños que juegan conmigo”,1
“Un tipo muy feo hasta el final”, “Me gusta ser sincero frente al amor”,1
“Yo creía que estaríamos juntos hasta el final”, “Creo que el amor tiene fecha de vencimiento”,1
"Tengo miedo de que no termine", "Podré pasar el final", 1
"No se acaba hasta que se acaba", "Está el final a la vista",1
"¿Es correcto terminarlo?", "Si lo estás pensando, será correcto", 1
“Se acabó”, “Trabajaste duro”,1
“Es como un túnel sin final a la vista”, “Seré capaz de pasar el final”,1
"Se acabó", "Tuve muchos problemas", 1
"Se acabó", "Buen trabajo", 1
"Un amor que parecía tener un final", "Debe haber sido difícil en el noviazgo",1
"Es el final", "Podría ser el final", 1
“Sé la respuesta hasta el final, pero ¿por qué no?”, “Porque no es el final de mi corazón”,1
“Debe ser el final”, “Debe haber llegado algún día”,1
